year,state_po,state_fips,office,d_prob
2016,NH,33,president,0.4682626266969056
2016,NJ,34,president,0.554530844496942
2016,NM,35,president,0.482556471786341
2016,NY,36,president,0.5613614259984896
2016,NC,37,president,0.4617286616820948
2016,ND,38,president,0.2722673945870601
2016,OH,39,president,0.4355807627672002
2016,OK,40,president,0.2893168028454389
2016,OR,41,president,0.5007185200286208
2016,PA,42,president,0.4785361616456285
2016,RI,44,president,0.5440660657037472
2016,SC,45,president,0.4067341978966509
2016,SD,46,president,0.3173742815994899
2016,TN,47,president,0.34716332798650096
2016,TX,48,president,0.4323525798101196
2016,UT,49,president,0.2746126859226901
2016,VT,50,president,0.5572274212321393
2016,VA,51,president,0.497513528334177
2016,WA,53,president,0.5253868006182659
2016,WV,54,president,0.2647692801777152
2016,WI,55,president,0.4645384137224266
2016,WY,56,president,0.2162890087639303
