stcode,ABBcode,AnyCong,NoCong,EvanProt,Catholic,MainProt,Other,CongSession,YrElected,stateabbr,CDnum
26,MI14,37.710232,62.289768,6.4395227,21.884209,5.6642323,3.7222681,106,1998,MI,14
26,MI02,42.913021,57.086979,16.979309,11.988338,13.510485,.43488979,106,1998,MI,2
26,MI10,43.976944,56.023056,7.8039513,29.534718,4.9335403,1.7047348,106,1998,MI,10
27,MN03,56.790401,43.209599,9.009182,23.752556,19.953243,4.0754204,106,1998,MN,3
27,MN08,54.074059,45.925941,10.248702,22.962336,19.980225,.88279629,106,1998,MN,8
27,MN06,53.769257,46.230743,8.2078514,26.199667,18.383924,.97781372,106,1998,MN,6
27,MN04,60.377422,39.622578,9.2419367,30.613039,17.524359,2.9980879,106,1998,MN,4
27,MN07,68.147362,31.852638,12.05637,28.381954,27.346682,.36235619,106,1998,MN,7
27,MN05,57.705608,42.294392,9.1287403,23.348057,20.635012,4.5937996,106,1998,MN,5
27,MN01,70.891403,29.108597,13.675423,24.711214,31.643057,.86170959,106,1998,MN,1
27,MN02,73.714645,26.285355,18.003521,25.243851,30.187176,.28009796,106,1998,MN,2
28,MS02,42.613258,57.386742,29.246418,2.6956446,9.9593973,.71179843,106,1998,MS,2
28,MS05,55.583118,44.416882,35.009209,11.023805,8.4656954,1.0844097,106,1998,MS,5
28,MS03,55.588135,44.411865,40.938099,2.3847153,11.703231,.56208968,106,1998,MS,3
28,MS04,58.860012,41.139988,45.265343,2.3566251,10.348301,.88974333,106,1998,MS,4
28,MS01,59.374836,40.625164,47.311321,1.4930787,10.185595,.38484144,106,1998,MS,1
29,MO06,53.839485,46.160515,28.376078,10.402198,13.923663,1.1375465,106,1998,MO,6
29,MO02,55.777962,44.222038,14.041717,29.2181,7.5247869,4.9933586,106,1998,MO,2
29,MO03,47.585125,52.414875,15.068588,22.946886,6.2154746,3.354176,106,1998,MO,3
29,MO04,53.103313,46.896687,31.739098,9.8600292,10.323009,1.1811781,106,1998,MO,4
29,MO01,51.591019,48.408981,12.386808,26.366699,7.6365752,5.2009358,106,1998,MO,1
29,MO08,50.808044,49.191956,36.563446,7.5897288,6.0755115,.5793581,106,1998,MO,8
29,MO05,51.230152,48.769848,21.250917,15.454283,11.292298,3.2326536,106,1998,MO,5
29,MO09,50.918133,49.081867,23.064205,15.273191,11.315574,1.2651625,106,1998,MO,9
29,MO07,50.449238,49.550762,35.830257,4.7710371,8.5565605,1.2913828,106,1998,MO,7
30,MT00,44.72337,55.27663,11.158231,18.759802,10.834132,3.9712048,106,1998,MT,0
31,NE02,51.298786,48.701214,10.377877,25.558142,12.342469,3.020298,106,1998,NE,2
31,NE03,68.974251,31.025749,18.229805,23.823679,25.930788,.98997879,106,1998,NE,3
31,NE01,57.20414,42.79586,15.624072,16.050276,23.460079,2.0697126,106,1998,NE,1
32,NV02,32.557926,67.442078,5.5934038,16.084215,2.3354082,8.544899,106,1998,NV,2
32,NV01,36.248707,63.751293,5.1562586,17.200176,2.0702662,11.822006,106,1998,NV,1
33,NH01,49.442081,50.557919,2.3852861,37.060638,7.2837739,2.712383,106,1998,NH,1
33,NH02,45.841839,54.158161,2.4924216,32.681438,8.19695,2.4710288,106,1998,NH,2
34,NJ01,54.220558,45.779442,3.2122295,35.788795,8.6355696,6.5839634,106,1998,NJ,1
34,NJ12,59.966671,40.033329,2.1929183,41.212818,8.3176851,8.2432499,106,1998,NJ,12
34,NJ07,61.635868,38.364132,2.0137715,44.886471,7.5418153,7.1938105,106,1998,NJ,7
